Name,Time,Days of the week,,,,
Duty-Atrium/Lockers/Lift lobby Sweep,8:30 - 9:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Reception ,8:30 - 9:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-MRT ,8:30 - 9:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Canteen queues,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Canteen tables,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Courts/Small Field ,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Atrium & Lift lobby @11:15,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Drama Foyer/PE Change Rooms Sweep,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Cricket/Garden/Reception Sweep,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-L1 Lockers & Lift lobby,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Library ,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Level 7 - 11 Sweep,11:05 - 11:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Canteen queues,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Canteen tables,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Courts,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Temp Check/Small Field,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Drama Foyer/PE Change Rooms Sweep,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Cricket/Garden/Reception Sweep,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Library ,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Level 7 - 11 Sweep,13:25 - 13:55,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Canteen tables,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Canteen tables,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Courts,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Small Field/Atrium  & Lift lobby @2:15,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Drama Foyer/PE Change Rooms Sweep,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Cricket/Garden/Reception Sweep,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-L1 Lockers & Lift lobby @2:10,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Library,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Level 7 - 11 Sweep,13:55 - 14:25,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-B1 Bus Park @3.30 / Canteen Sweep @3:45-4.00,15:30 - 17:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-B2 Car Park  3.30 - 4.00,15:30 - 17:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Reception 3.30 - 4.00,15:30 - 17:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-Shuttle Bus. 3.30 - 4.00,15:30 - 17:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-B1 Bus Park  5.00 - 5.15,15:30 - 17:00,Monday,Tuesday,Wednesday,Thursday,Friday
Duty-B2 Car Park  5.00 - 5.15,15:30 - 17:00,Monday,Tuesday,Wednesday,Thursday,Friday